situation_number,scenario_id,situation_title,age_group,screen_order,section,node_purpose,element_type,branch,approved_text,approval_status,source_document,character_count,mobile_length_warning
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,25,Вариант А. «Все волнуются. Начни с разминки»,approved_source,ready_phrase,А3,> «Какое одно простое действие ты сделаешь в начале игры?»,утверждено,mental-skills-all-7-situations-approved-v1.md,58,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,26,Вариант Б. «Хорошо. Можешь сегодня не играть»,approved_source,supporting_text,Б,"Ребёнок немного успокаивается. Теперь нужно решить, кто и как сообщит об этом тренеру.",утверждено,mental-skills-all-7-situations-approved-v1.md,86,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,27,Вариант Б. «Хорошо. Можешь сегодня не играть»,approved_source,supporting_text,Б,**Что вы сделаете?**,утверждено,mental-skills-all-7-situations-approved-v1.md,20,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,28,Вариант Б. «Хорошо. Можешь сегодня не играть»,approved_source,immediate_consequence,Б1,"Ребёнок чувствует защиту, но не участвует в важном для него разговоре.",утверждено,mental-skills-all-7-situations-approved-v1.md,70,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,29,Вариант Б. «Хорошо. Можешь сегодня не играть»,approved_source,repeated_consequence,Б1,"Он может чаще ждать, что сложные разговоры с другими взрослыми родитель проведёт вместо него.",утверждено,mental-skills-all-7-situations-approved-v1.md,93,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,30,Вариант Б. «Хорошо. Можешь сегодня не играть»,approved_source,practical_advice,Б1,"Подойдите к тренеру вместе, но оставьте ребёнку возможность произнести первую фразу.",утверждено,mental-skills-all-7-situations-approved-v1.md,84,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,31,Вариант Б. «Хорошо. Можешь сегодня не играть»,approved_source,ready_phrase,Б1,"> «Я пойду с тобой. Начни сам, а если будет трудно — помогу».",утверждено,mental-skills-all-7-situations-approved-v1.md,61,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,32,Вариант Б. «Хорошо. Можешь сегодня не играть»,approved_source,immediate_consequence,Б2,"Ребёнку может быть неловко, но он участвует в решении и сам сообщает о своём состоянии.",утверждено,mental-skills-all-7-situations-approved-v1.md,87,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,33,Вариант Б. «Хорошо. Можешь сегодня не играть»,approved_source,repeated_consequence,Б2,Ему может стать проще самостоятельно обращаться за поддержкой.,утверждено,mental-skills-all-7-situations-approved-v1.md,62,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,34,Вариант Б. «Хорошо. Можешь сегодня не играть»,approved_source,practical_advice,Б2,"Помогите подготовить начало разговора, но не произносите всё за ребёнка.",утверждено,mental-skills-all-7-situations-approved-v1.md,72,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,35,Вариант Б. «Хорошо. Можешь сегодня не играть»,approved_source,ready_phrase,Б2,"> «Давай подумаем, с какой фразы ты начнёшь разговор с тренером».",утверждено,mental-skills-all-7-situations-approved-v1.md,65,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,36,Вариант Б. «Хорошо. Можешь сегодня не играть»,approved_source,immediate_consequence,Б3,Ребёнку не приходится принимать окончательное решение в момент наибольшего напряжения.,утверждено,mental-skills-all-7-situations-approved-v1.md,86,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,37,Вариант Б. «Хорошо. Можешь сегодня не играть»,approved_source,repeated_consequence,Б3,"Он получает опыт: сначала немного успокоиться, а затем вернуться к решению, а не избегать его.",утверждено,mental-skills-all-7-situations-approved-v1.md,94,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,38,Вариант Б. «Хорошо. Можешь сегодня не играть»,approved_source,practical_advice,Б3,"Заранее договоритесь, когда именно вы снова обсудите решение.",утверждено,mental-skills-all-7-situations-approved-v1.md,61,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,39,Вариант Б. «Хорошо. Можешь сегодня не играть»,approved_source,ready_phrase,Б3,"> «Сначала разомнись. После разминки ещё раз решим, готов ли ты играть».",утверждено,mental-skills-all-7-situations-approved-v1.md,72,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,40,Вариант В. «Что тебя сейчас пугает больше всего?»,approved_source,supporting_text,В,Ребёнок отвечает:,утверждено,mental-skills-all-7-situations-approved-v1.md,17,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,41,Вариант В. «Что тебя сейчас пугает больше всего?»,approved_source,supporting_text,В,"> «Боюсь ошибиться, и все будут на меня злиться».",утверждено,mental-skills-all-7-situations-approved-v1.md,49,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,42,Вариант В. «Что тебя сейчас пугает больше всего?»,approved_source,supporting_text,В,**Что вы скажете дальше?**,утверждено,mental-skills-all-7-situations-approved-v1.md,26,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,43,Вариант В. «Что тебя сейчас пугает больше всего?»,approved_source,immediate_consequence,В1,"Ребёнок может услышать, что его страх не воспринимают всерьёз, даже если его ожидания действительно преувеличены.",утверждено,mental-skills-all-7-situations-approved-v1.md,113,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,44,Вариант В. «Что тебя сейчас пугает больше всего?»,approved_source,repeated_consequence,В1,Он может реже рассказывать родителю о своих переживаниях.,утверждено,mental-skills-all-7-situations-approved-v1.md,57,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,45,Вариант В. «Что тебя сейчас пугает больше всего?»,approved_source,practical_advice,В1,"Не спорьте с чувством ребёнка. Сначала покажите, что услышали его, и только затем переходите к возможным действиям.",утверждено,mental-skills-all-7-situations-approved-v1.md,115,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,46,Вариант В. «Что тебя сейчас пугает больше всего?»,approved_source,ready_phrase,В1,"> «Понимаю, ты боишься реакции других. Давай подумаем, что поможет тебе начать играть».",утверждено,mental-skills-all-7-situations-approved-v1.md,87,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,47,Вариант В. «Что тебя сейчас пугает больше всего?»,approved_source,immediate_consequence,В2,"Внимание ребёнка переключается со страха на действие, которое он способен выполнить даже в состоянии волнения.",утверждено,mental-skills-all-7-situations-approved-v1.md,110,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,48,Вариант В. «Что тебя сейчас пугает больше всего?»,approved_source,repeated_consequence,В2,"Ему может стать проще действовать, не ожидая полного спокойствия и уверенности.",утверждено,mental-skills-all-7-situations-approved-v1.md,79,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,49,Вариант В. «Что тебя сейчас пугает больше всего?»,approved_source,practical_advice,В2,"Не обещайте, что страх обязательно исчезнет. Помогите найти действие, которое можно выполнить, даже если волнение остаётся.",утверждено,mental-skills-all-7-situations-approved-v1.md,123,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,50,Вариант В. «Что тебя сейчас пугает больше всего?»,approved_source,ready_phrase,В2,> «Волноваться перед игрой — это нормально. Что может помочь тебе начать играть?»,утверждено,mental-skills-all-7-situations-approved-v1.md,81,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,51,Вариант В. «Что тебя сейчас пугает больше всего?»,approved_source,immediate_consequence,В3,"Ребёнок чувствует защиту, но родитель снова может взять решение полностью на себя.",утверждено,mental-skills-all-7-situations-approved-v1.md,82,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,52,Вариант В. «Что тебя сейчас пугает больше всего?»,approved_source,repeated_consequence,В3,Ребёнок может чаще ждать вмешательства взрослого вместо собственного участия в разговоре.,утверждено,mental-skills-all-7-situations-approved-v1.md,89,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,53,Вариант В. «Что тебя сейчас пугает больше всего?»,approved_source,practical_advice,В3,Включите ребёнка в общение с тренером. Не обсуждайте его переживания за спиной без веской причины.,утверждено,mental-skills-all-7-situations-approved-v1.md,98,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,54,Вариант В. «Что тебя сейчас пугает больше всего?»,approved_source,ready_phrase,В3,"> «Можем подойти вместе и сказать тренеру, какая поддержка тебе нужна».",утверждено,mental-skills-all-7-situations-approved-v1.md,71,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,55,Вариант Г. «Давай быстро обсудим игру»,approved_source,supporting_text,Г,"Вы начинаете давать советы и замечаете, что ребёнок перестаёт вас слушать.",утверждено,mental-skills-all-7-situations-approved-v1.md,74,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,56,Вариант Г. «Давай быстро обсудим игру»,approved_source,supporting_text,Г,**Что вы сделаете?**,утверждено,mental-skills-all-7-situations-approved-v1.md,20,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,57,Вариант Г. «Давай быстро обсудим игру»,approved_source,immediate_consequence,Г1,"Количество информации растёт, и ребёнку становится сложнее справляться с давлением.",утверждено,mental-skills-all-7-situations-approved-v1.md,83,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,58,Вариант Г. «Давай быстро обсудим игру»,approved_source,repeated_consequence,Г1,Он может начать ориентироваться на последние подсказки родителя и не выполнить указание тренера.,утверждено,mental-skills-all-7-situations-approved-v1.md,96,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,59,Вариант Г. «Давай быстро обсудим игру»,approved_source,practical_advice,Г1,"Перед началом игры не давайте ребёнку советов о том, как действовать на поле. Попросите его вспомнить, какие указания дал тренер.",утверждено,mental-skills-all-7-situations-approved-v1.md,129,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,60,Вариант Г. «Давай быстро обсудим игру»,approved_source,ready_phrase,Г1,> «Вспомни. Какую задачу тебе дал тренер?»,утверждено,mental-skills-all-7-situations-approved-v1.md,42,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,61,Вариант Г. «Давай быстро обсудим игру»,approved_source,immediate_consequence,Г2,"Становится ясно, что у ребёнка усилился страх ошибиться или не выполнить указания родителя.",утверждено,mental-skills-all-7-situations-approved-v1.md,91,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,62,Вариант Г. «Давай быстро обсудим игру»,approved_source,repeated_consequence,Г2,"Ему может стать ещё сложнее отделять задачу, поставленную тренером, от дополнительной информации.",утверждено,mental-skills-all-7-situations-approved-v1.md,97,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,63,Вариант Г. «Давай быстро обсудим игру»,approved_source,practical_advice,Г2,"Признайте, что дали ребёнку слишком много советов. Верните его внимание к задаче, которую поставил тренер.",утверждено,mental-skills-all-7-situations-approved-v1.md,106,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,64,Вариант Г. «Давай быстро обсудим игру»,approved_source,ready_phrase,Г2,"> «Я дал тебе слишком много советов. Вспомни, какую задачу поставил тренер».",утверждено,mental-skills-all-7-situations-approved-v1.md,76,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,65,Вариант Г. «Давай быстро обсудим игру»,approved_source,immediate_consequence,Г3,"Роли снова становятся понятными: тренер даёт игровую задачу, а родитель остаётся поддержкой.",утверждено,mental-skills-all-7-situations-approved-v1.md,92,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,66,Вариант Г. «Давай быстро обсудим игру»,approved_source,repeated_consequence,Г3,Ребёнку может стать проще входить в игру без ожидания последней родительской подсказки.,утверждено,mental-skills-all-7-situations-approved-v1.md,87,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,67,Вариант Г. «Давай быстро обсудим игру»,approved_source,practical_advice,Г3,"После отмены своих советов добавьте поддержку, чтобы ваши слова не прозвучали как отстранение.",утверждено,mental-skills-all-7-situations-approved-v1.md,94,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,68,Вариант Г. «Давай быстро обсудим игру»,approved_source,ready_phrase,Г3,"> «Слушай, что сказал тренер. А я тебя поддержу».",утверждено,mental-skills-all-7-situations-approved-v1.md,49,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,69,Общий вывод,approved_source,summary,root,"Когда ребёнок не хочет играть сегодня, не обязательно сразу убеждать его, разрешать отказаться или давать новые инструкции.",утверждено,mental-skills-all-7-situations-approved-v1.md,123,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,70,Общий вывод,approved_source,summary,root,"Сначала важно понять, что именно происходит:",утверждено,mental-skills-all-7-situations-approved-v1.md,44,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,71,Общий вывод,approved_source,summary,root,"- страх ошибки;
- боязнь реакции других людей;
- перегрузка ожиданиями;
- непонимание задачи;
- плохое самочувствие;
- конфликт или небезопасная ситуация;
- другая причина.",утверждено,mental-skills-all-7-situations-approved-v1.md,172,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,72,Общий вывод,approved_source,summary,root,"После этого можно помочь ребёнку выбрать ближайший шаг, который он должен сделать сам.",утверждено,mental-skills-all-7-situations-approved-v1.md,86,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,73,Практический инструмент. Правило трёх вопросов,approved_source,practical_tool,root,"1. **Что тебя сейчас беспокоит?**
2. **Что в этой ситуации зависит от тебя?**
3. **Какой первый шаг ты готов сделать?**",утверждено,mental-skills-all-7-situations-approved-v1.md,119,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,74,Практический инструмент. Правило трёх вопросов,approved_source,practical_tool,root,"> «Что тебя пугает?»
> «Что ты можешь сделать сначала?»
> «Тебе нужна моя помощь?»",утверждено,mental-skills-all-7-situations-approved-v1.md,82,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,75,Практический инструмент. Правило трёх вопросов,approved_source,practical_tool,root,"> «Что тебя сейчас пугает больше всего?»
> «Что из этого зависит от тебя?»
> «С чего ты готов начать?»",утверждено,mental-skills-all-7-situations-approved-v1.md,102,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,76,Практический инструмент. Правило трёх вопросов,approved_source,practical_tool,root,"> «Что именно сейчас мешает тебе играть?»
> «На что ты можешь повлиять?»
> «Какой первый шаг ты готов сделать сам?»",утверждено,mental-skills-all-7-situations-approved-v1.md,115,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,77,Важное исключение,approved_source,important_note,root,"Если ребёнок говорит о боли, травме, затруднённом дыхании, резком ухудшении самочувствия, угрозах или небезопасной ситуации, сначала нужно остановиться и разобраться вместе с тренером или медицинским специалистом.",утверждено,mental-skills-all-7-situations-approved-v1.md,213,Да
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,78,Важное исключение,approved_source,important_note,root,"В такой ситуации задача родителя не состоит в том, чтобы убедить ребёнка играть.",утверждено,mental-skills-all-7-situations-approved-v1.md,80,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,79,Завершение ситуации,approved_source,completion,root,**Ситуация пройдена.**,утверждено,mental-skills-all-7-situations-approved-v1.md,22,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,80,Завершение ситуации,approved_source,completion,root,"Вы увидели, как реакция родителя может переключить внимание ребёнка:",утверждено,mental-skills-all-7-situations-approved-v1.md,68,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,81,Завершение ситуации,approved_source,completion,root,"- на страх оценки;
- на отказ от решения;
- на родительские инструкции;
- на задачу тренера;
- на первый доступный шаг.",утверждено,mental-skills-all-7-situations-approved-v1.md,119,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,82,Завершение ситуации,approved_source,completion,root,"Заберите с собой правило трёх вопросов и попробуйте использовать его не только перед матчем, но и в других сложных ситуациях.",утверждено,mental-skills-all-7-situations-approved-v1.md,125,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,83,Завершение ситуации,approved_source,completion,root,"**Основная кнопка:** Перейти к ситуации 2.
**Дополнительные действия:** Повторить ситуацию; Вернуться на главную.",утверждено,mental-skills-all-7-situations-approved-v1.md,113,Нет
2,PREMATCH_INSTRUCTIONS_02,Последние инструкции перед стартом,all,0,metadata,approved_source,working_title,root,Последние инструкции перед стартом,утверждено,mental-skills-all-7-situations-approved-v1.md,34,Нет
2,PREMATCH_INSTRUCTIONS_02,Последние инструкции перед стартом,all,1,Образовательная цель,approved_source,educational_goal,root,Помочь родителю не перегружать ребёнка дополнительными советами перед матчем.,утверждено,mental-skills-all-7-situations-approved-v1.md,77,Нет
2,PREMATCH_INSTRUCTIONS_02,Последние инструкции перед стартом,all,1,metadata,approved_source,short_title,root,Перед началом игры,утверждено,mental-skills-all-7-situations-approved-v1.md,18,Нет
2,PREMATCH_INSTRUCTIONS_02,Последние инструкции перед стартом,all,2,Образовательная цель,approved_source,educational_goal,root,Ребёнку важно:,утверждено,mental-skills-all-7-situations-approved-v1.md,14,Нет
2,PREMATCH_INSTRUCTIONS_02,Последние инструкции перед стартом,all,3,Образовательная цель,approved_source,educational_goal,root,"- вспомнить задачу тренера;
- понять, какие действия помогут её выполнить;
- сохранить способность самостоятельно принимать решения во время игры.",утверждено,mental-skills-all-7-situations-approved-v1.md,146,Нет
2,PREMATCH_INSTRUCTIONS_02,Последние инструкции перед стартом,all,4,Образовательная цель,approved_source,educational_goal,root,"Роли должны оставаться понятными: тренер ставит игровую задачу, ребёнок выполняет её и принимает решения на поле, родитель поддерживает.",утверждено,mental-skills-all-7-situations-approved-v1.md,136,Нет
2,PREMATCH_INSTRUCTIONS_02,Последние инструкции перед стартом,6–8,5,Вводная ситуация,approved_source,intro,root,До начала игры остаётся три минуты. Ребёнок подходит к вам попить воды.,утверждено,mental-skills-all-7-situations-approved-v1.md,71,Нет
2,PREMATCH_INSTRUCTIONS_02,Последние инструкции перед стартом,9–12,6,Вводная ситуация,approved_source,intro,root,До начала игры остаётся три минуты. Ребёнок только что получил указания тренера и подходит к вам.,утверждено,mental-skills-all-7-situations-approved-v1.md,97,Нет
2,PREMATCH_INSTRUCTIONS_02,Последние инструкции перед стартом,13–16,7,Вводная ситуация,approved_source,intro,root,"До начала игры остаётся три минуты. Подросток во время короткой паузы подходит к вам, а затем должен вернуться к команде.",утверждено,mental-skills-all-7-situations-approved-v1.md,121,Нет
2,PREMATCH_INSTRUCTIONS_02,Последние инструкции перед стартом,6–8,8,Первый вопрос родителю,approved_source,parent_question,root,Ребёнок подошёл к вам перед началом игры. Что вы ему скажете?,утверждено,mental-skills-all-7-situations-approved-v1.md,61,Нет
2,PREMATCH_INSTRUCTIONS_02,Последние инструкции перед стартом,9–12,9,Первый вопрос родителю,approved_source,parent_question,root,Ребёнок только что получил указания тренера. Что вы скажете ему перед игрой?,утверждено,mental-skills-all-7-situations-approved-v1.md,76,Нет
2,PREMATCH_INSTRUCTIONS_02,Последние инструкции перед стартом,13–16,10,Первый вопрос родителю,approved_source,parent_question,root,Подросток готовится вернуться к команде. Что вы скажете ему перед стартом?,утверждено,mental-skills-all-7-situations-approved-v1.md,74,Нет
2,PREMATCH_INSTRUCTIONS_02,Последние инструкции перед стартом,all,11,Первый выбор,approved_source,initial_choice,root,"- **Вариант А:** Дам несколько советов, как лучше сыграть.
- **Вариант Б:** Напомню, как важно победить.
- **Вариант В:** Спрошу, какую задачу дал тренер.
- **Вариант Г:** Пожелаю хорошей игры без советов.",утверждено,mental-skills-all-7-situations-approved-v1.md,205,Да
2,PREMATCH_INSTRUCTIONS_02,Последние инструкции перед стартом,all,12,"Вариант А. «Дам несколько советов, как лучше сыграть»",approved_source,supporting_text,А,"Вы начинаете объяснять ребёнку, как действовать на поле. Он отвечает:",утверждено,mental-skills-all-7-situations-approved-v1.md,69,Нет
